"BinomialReptileDatabase","Sex","Family","SSM","SSBF","MAX.BM","MAX.SVL","MAX.HL","MAX.HW","MAX.HH","MAX.LJL","MAX.BF"
"Acontias kgalagadi","unknown","Scincidae",5,5,1.95,116.12,7.27,3.6,3.23,5.7,1.16
"Acontias litoralis","unknown","Scincidae",47,42,1.39,108.34,5.95,3.01,2.54,5.09,0.73
"Acontias meleagris","unknown","Scincidae",6,6,9.74,194.24,10.43,5.81,4.56,7.67,8.99
"Acontias percivali","unknown","Scincidae",12,12,16.87,246.83,13.88,8,6.98,13.25,10.08
"Chalcides ocellatus","unknown","Scincidae",16,13,10.28,80.88,11.85,7.76,6.53,12.96,6.82
"Chalcides sepsoides","unknown","Scincidae",17,17,4.66,83.41,9.9,5.93,5.05,9.97,4.12
"Mochlus sundevallii","unknown","Scincidae",10,10,9.83,83.64,12.4,7.68,6.2,12.64,12.33
"Pygomeles braconnieri","unknown","Scincidae",6,1,12.78,109.67,10.61,6.25,5.06,9.4,9.36
"Scelotes bipes","unknown","Scincidae",12,11,1.56,74.56,6.18,3.22,2.62,5.46,1.33
"Scelotes montispectus","unknown","Scincidae",1,1,1,61.58,6.81,3.32,2.83,6.4,1.27
"Scincus scincus","unknown","Scincidae",5,5,18.75,92.2,18.76,10.65,9.92,18.44,18.39
"Typhlosaurus caecus","unknown","Scincidae",32,32,3.42,171.3,6.7,3.39,1.98,4.67,3.01
"Typhlosaurus lomiae","unknown","Scincidae",9,9,0.92,106.33,5.52,2.6,2.13,3.99,0.45
"Typhlosaurus vermis","unknown","Scincidae",6,6,2.68,195.33,6.76,3.18,2.67,5.4,0.93
"Iberolacerta horvathi","M","Lacertidae",26,26,NA,61.6,21.3,8.6,5.6,NA,2.489
"Diplolaemus leopardinus","unknown","Leiosauridae",21,20,18.7,79.69,NA,NA,NA,NA,16.5
"Ablepharus kitaibelii","M","Scincidae",6,6,1.03,41.67,6.68,3.82,2.7,5.94,0.39
"Podarcis muralis","M","Lacertidae",30,30,8.75,71,19,9,NA,NA,13.64
"Tarentola mauritanica","M","Phyllodactylidae",12,12,NA,77.13,21.93,18.6,10.16,NA,5.48
"Podarcis melisellensis","M","Lacertidae",148,64,5.31,64.67,15.13,9.04,7.2,16.19,13.98
"Tupinambis teguixin","M","Teiidae",3,3,NA,317.33,NA,NA,NA,NA,105
"Salvator merianae","M","Teiidae",10,10,NA,425,99.65,NA,NA,NA,534.24
