"BinomialReptileDatabase","Sex","Family","SSM","SSBF","SD.BM","SD.SVL","SD.HL","SD.HW","SD.HH","SD.LJL","SD.BF"
"Liolaemus fitzingerii","M","Liolaemidae",4,4,NA,100.55,20.26,14.32,10.38,20.95,19.11
"Liolaemus hatcheri","M","Liolaemidae",7,7,NA,62.169698981503,13.4656077753236,9.84143782776615,6.26206528843421,13.8078953408768,4.71018290643002
"Liolaemus kingii","M","Liolaemidae",3,3,NA,77.954242446241,16.0044486372867,11.4187048957087,8.17693575034635,16.5190896534381,10.5261662348877
"Liolaemus kolengh","M","Liolaemidae",7,7,NA,58.8636466519414,12.7343528539874,9.51143782776615,5.95560777532356,13.3278953408768,3.37372539331938
"Liolaemus mapuche","M","Liolaemidae",11,11,NA,83.6696072023047,17.2296574538782,12.246992462264,9.27332495807108,17.9828237017817,13.1569673364772
"Liolaemus morenoi","M","Liolaemidae",6,6,NA,68.9201479225204,14.8729285639896,10.4564132562731,7.26146428199482,15.2554030511288,10.1202499739638
"Liolaemus petrophilus","M","Liolaemidae",2,2,NA,95.9474429945228,21.9488939366884,14.3423759005324,8.50982756057297,23.6071782079359,10.53
"Liolaemus rothi","F","Liolaemidae",3,3,NA,92.643304475317,19.3516660498395,14.3738199529313,9.48903810567666,20.9121916386721,7.20989690447714
"Liolaemus sarmientoi","M","Liolaemidae",4,4,NA,79.91,16.95,11.86,9.11,18.04,9.14
"Liolaemus tenuis","M","Liolaemidae",4,4,NA,57.35,13.92,9.32,6,14.56,5.9
"Liolaemus xanthoviridis","M","Liolaemidae",5,5,NA,90.8423369549492,18.0845587471749,12.5527553482999,8.95150923032491,18.5969194269499,14.4909208932248
"Liolaemus zullyae","M","Liolaemidae",5,5,NA,74.8145971347494,17.0233126291999,11.3579024325749,8.37609903369994,17.4867878707749,9.64121506177483
"Aspidoscelis sexlineatus","M","Teiidae",112,112,NA,70.6915026221292,17.5457906817536,9.49247047198325,8.10664041954067,NA,5.70579068175359
"Dracaena guianensis","unknown","Teiidae",4,4,NA,427.1,87.8,78.1,61.5,108.5,471.5
"Anolis carolinensis","M","Dactyloidae",56,56,NA,67.5106562731868,NA,NA,NA,NA,12.5988264662127
"Bradypodion melanocephalum","F","Chamaeleonidae",16,15,NA,58.42,12.08,7.92,7.36,11.91,17.99
"Bradypodion thamnobates","M","Chamaeleonidae",20,20,NA,63.27,17.03,12.91,10.96,17.58,41.46
"Ouroborus cataphractus","M","Cordylidae",19,19,NA,111.05,30.75,29.56,14.9,30.05,71.35
"Karusasaurus polyzonus","M","Cordylidae",16,16,NA,108.34,27.6,23.69,13.95,28.29,46.82
"Lacerta trilineata","M","Lacertidae",12,12,NA,15.23,4.87,2.96,2.6,3.27,78.84
"Uromastyx aegyptia","M","Agamidae",7,7,696.81,297.51,40.85,43.63,27.08,47.45,133.62
"Bradypodion pumilum","unknown","Chamaeleonidae",10,10,12.9955232133717,72.4434592245149,NA,NA,NA,NA,15.5435943621179
"Bradypodion occidentale","unknown","Chamaeleonidae",10,10,20.5136798306425,85.1313097671334,NA,NA,NA,NA,16.9939004367701
"Aspidoscelis sonorae","unknown","Teiidae",51,51,NA,80.67799979996,NA,11.4540428328523,9.649799979996,NA,8.37949994999
"Cophosaurus texanus","unknown","Phrynosomatidae",29,29,NA,69.1108570991298,NA,11.3431813133556,8.9370329614269,NA,6.11480768249708
"Crotaphytus collaris","unknown","Crotaphytidae",6,6,NA,84.8013874830499,NA,19.5049948453553,12.6176734353812,NA,16.5175152035715
"Elgaria kingii","unknown","Anguidae",15,15,NA,93.171953876719,NA,11.6341126723313,8.155705503476,NA,8.98092701004179
"Sceloporus clarkii","unknown","Phrynosomatidae",49,49,NA,97.85,NA,20.5,13.92,NA,20.12
"Sceloporus magister","unknown","Phrynosomatidae",8,8,NA,71.87895669792,NA,14.9173506473629,10.403086578651,NA,11.4029855659733
"Sceloporus undulatus","unknown","Phrynosomatidae",68,68,NA,64.0448099883771,NA,12.6044695751729,8.70215901261118,NA,7.54170436275942
"Uta stansburiana","unknown","Phrynosomatidae",3,3,NA,48.1556406460551,NA,9.57425625842204,6.57229473419497,NA,3.24373066958946
"Ctenophorus maculosus","M","Agamidae",32,32,11.88,68.84,NA,15.03,9.86,19.58,11.89
"Anolis aquaticus","M","Dactyloidae",10,10,NA,66.0715731075233,16.8914021704741,9.28543774484715,7.59570108523704,17.2811388300842,18.8920997883031
"Anolis lionotus","M","Dactyloidae",10,9,NA,74.7219219164378,18.4760071598892,9.65381496824546,8.05381496824546,18.7341210428977,18.4
"Anolis oxylophus","M","Dactyloidae",5,5,NA,67.6516791740744,16.6615092303249,9.46150923032491,7.97206651122492,17.4323296235748,10.9068883707497
"Anolis poecilopus","M","Dactyloidae",17,17,NA,70.6757192880806,17.5483142938921,9.59477267507412,7.55354161881794,17.8895453501482,15.8984845004941
"Podarcis erhardii","M","Lacertidae",187,187,8.1,68.32,16.23,10.89,8.24,13.42,13.36
"Anolis lineatopus","M","Lacertidae",58,58,4.26,57.47,17.92,9.49,7.17,18.4,4.82
"Anolis auratus","F","Lacertidae",22,22,NA,47.7,12.11,6.37,5.02,12.24,3.47
"Anolis humilis","F","Lacertidae",11,11,NA,37.71,10.81,6.03,4.78,10.98,2.83
"Anolis limifrons","F","Lacertidae",23,23,NA,41.75,11.52,5.94,4.55,11.22,2.45
"Anolis pulchellus","F","Lacertidae",7,7,NA,44.3,14.96,7.25,6.02,15.4,4.7
"Anolis frenatus","M","Lacertidae",2,2,NA,140.98,35.3,20.17,16.56,36.89,42.81
"Anolis chloris","M","Lacertidae",4,4,NA,60.67,17.23,8.97,7.06,17.04,7.04
" Anolis heterodermus","M","Lacertidae",6,6,NA,75.33,22.43,11.4,10.21,21.66,21.65
"Anolis equestris","M","Lacertidae",10,10,NA,173.27,53.14,32.01,23.19,53.79,88.42
"Anolis gundlachi","M","Lacertidae",28,28,NA,67.26,20.94,11.24,9.45,21.06,8.47
"Anolis distichus","M","Lacertidae",83,83,NA,50.11,14.2,9.52,6.8,14.59,4.14
"Anolis valencienni","M","Lacertidae",23,23,NA,72.19,21.81,10.54,8.96,21.95,9.8
"Trogonophis wiegmanni","M","Trogonophidae",15,15,8.45665300540712,168.074998698594,7.50221766846904,5.67094750193111,4.61221766846904,NA,6.43935467078637
"Carlia triacantha","unknown","Scincidae",2,2,3.81,51,9.29,8.86,NA,NA,0.82
"Cryptoblepharus metallicus","unknown","Scincidae",11,8,1.5,42.63,9.35,6.13,NA,NA,0.22
"Ctenotus robustus","unknown","Scincidae",15,12,32.54,124.27,19.86,15.7,NA,NA,6.83
"Ctenotus inornatus","unknown","Scincidae",10,9,7.89,73.48,14.27,10.21,NA,NA,1.86
"Eremiascincus isolepis","unknown","Scincidae",5,5,4.84,63.02,11.48,8.71,NA,NA,0.55
"Anolis allisoni","M","Dactyloidae",9,9,NA,71.99,25.81,15.8,8.85,24.67,7.39
"Anolis angusticeps","M","Dactyloidae",57,57,NA,44.77,14.61,7.32,5.72,14.95,3.44
"Anolis bahorucoensis","M","Dactyloidae",30,30,NA,40.13,14.35,7.46,6.28,14.66,3.96
"Anolis baracoae","M","Dactyloidae",2,2,NA,124.05,42.71,14.82,18.43,42.74,25.14
"Anolis barahonae","M","Dactyloidae",32,32,NA,149.2,45.96,26.96,24.17,46.97,50.89
"Anolis brevirostris","M","Dactyloidae",64,64,NA,45.77,14.56,9.23,7.01,14.25,5.43
"Anolis brunneus","M","Dactyloidae",53,53,NA,62.81,20.65,10.27,7.76,22.04,6.15
"Anolis coelestinus","M","Dactyloidae",70,70,NA,62.76,20.12,11.33,9.04,20.57,11.38
"Anolis cuvieri","M","Dactyloidae",10,10,NA,132.88,43.71,22.95,20.12,42.74,73.79
"Anolis cybotes","M","Dactyloidae",61,61,NA,58.74,21.15,12.98,10.81,20.7,13.53
"Anolis evermanni","M","Dactyloidae",60,60,NA,56.1,17.34,10.45,8.04,18.1,4.2
"Anolis grahami","M","Dactyloidae",23,23,NA,59.95,18.85,11.1,8.36,19.69,6.27
"Anolis krugi","M","Dactyloidae",39,39,NA,40.1,14.05,7.96,7.09,14.05,3.77
"Anolis olssoni","M","Dactyloidae",29,29,NA,44.72,13.35,6.94,6.23,14.33,3.98
"Anolis singularis","M","Dactyloidae",16,16,NA,40,13.4,7.88,6.4,14,4.42
"Anolis smaragdinus","M","Dactyloidae",54,54,NA,54.82,17.7,9.44,6.87,18.5,4.43
"Anolis stratulus","M","Dactyloidae",38,38,NA,45.72,14.85,8.83,6.6,14.85,2.99
"Anolis sheplani","F","Dactyloidae",16,16,NA,38.27,11.59,5.47,5.39,11.82,3.14
"Pogona vitticeps","M","Agamidae",11,11,280.150925875773,201.882489111107,49.5539597987412,44.6639597987412,30.862798575995,60.3894484921371,92.8853961456959
"Varanus exanthematicus","M","Varanidae",7,7,NA,262.28,52.66,36.65,26.93,NA,107.61
"Acanthodactylus pardalis","M","Lacertidae",5,5,NA,60.8,14.8,9.9,8.5,NA,5.6
"Archaeolacerta bedriagae","M","Lacertidae",14,14,NA,77.2,21.2,12.7,8.1,NA,11
"Lacerta bilineata","M","Lacertidae",2,2,NA,92.9,25.9,16.1,12.1,NA,23.5
"Latastia longicaudata","M","Lacertidae",3,3,NA,95.8,21.7,11.7,10,NA,9
"Psammodromus algirus","F","Lacertidae",6,6,NA,72.4,17,10.8,8.1,NA,8.2
"Podarcis liolepis","M","Lacertidae",6,6,NA,65.1,16.4,9.4,7.7,NA,9.2
"Podarcis hispanicus","M","Lacertidae",10,10,NA,59.5,15.3,9,6.5,NA,5.4
"Podarcis lilfordi","F","Lacertidae",14,14,NA,63.7,16,9.3,7.1,NA,7.5
"Podarcis tiliguerta","M","Lacertidae",18,18,NA,60,15.9,8.9,6.9,NA,5
"Anolis cristatellus","M","Dactyloidae",35,35,8.63,64.27,16.66,12.19,9.82,19.73,25.81
"Anolis oculatus","M","Dactyloidae",61,61,10.48,74.42,19.49,13.2,10.37,23.17,30.65
"Eurolophosaurus nanuzae","unknown","Tropiduridae",29,29,NA,56.39,NA,NA,NA,NA,35.58
"Tropidurus hispidus","unknown","Tropiduridae",31,31,NA,106.71,NA,NA,NA,NA,75.34
"Tropidurus semitaeniatus","unknown","Tropiduridae",30,30,NA,75.51,NA,NA,NA,NA,31.37
"Anolis sagrei","M","Dactyloidae",27,27,NA,63.98,17.79,NA,NA,NA,10.23
"Acontias kgalagadi","unknown","Scincidae",5,5,2.59,128.22,7.76,3.8,4.09,6.04,1.56
"Acontias litoralis","unknown","Scincidae",47,42,1.84,124.98,6.86,3.3,2.8,5.85,0.92
"Acontias meleagris","unknown","Scincidae",6,6,12.59,210.58,11.51,6.71,5.11,8.83,10.76
"Acontias percivali","unknown","Scincidae",12,12,21.94,259.31,15.22,8.75,7.68,14.01,13.14
"Chalcides ocellatus","unknown","Scincidae",16,13,17.16,105.29,14.61,9.94,8.48,16,11.01
"Chalcides sepsoides","unknown","Scincidae",17,17,5.68,89.14,10.38,6.26,5.29,10.68,4.87
"Mochlus sundevallii","unknown","Scincidae",10,10,16.38,102.52,14.8,9.23,7.39,14.93,18.78
"Scelotes bipes","unknown","Scincidae",12,11,2.29,85.23,6.75,3.8,3.04,6.04,2.03
"Scincus scincus","unknown","Scincidae",5,5,22.71,95.24,19.48,11.4,10.8,19.91,21.98
"Typhlosaurus caecus","unknown","Scincidae",32,32,4.9,205.72,7.5,3.93,2.25,5.44,4.61
"Typhlosaurus lomiae","unknown","Scincidae",9,9,1.11,116.82,5.81,2.69,2.2,4.49,0.57
"Typhlosaurus vermis","unknown","Scincidae",6,6,3.77,243.9,7.75,3.55,3,6.26,1.18
"Iberolacerta horvathi","M","Lacertidae",26,26,NA,57.65,20.46,8.02,5.26,NA,1.91
"Diplolaemus leopardinus","unknown","Leiosauridae",21,20,24.8406514312408,89.3134089594073,NA,NA,NA,NA,19.82
"Ablepharus kitaibelii","M","Scincidae",6,6,1.13,43.77,7.15,4.03,2.89,6.71,0.55
"Tarentola mauritanica","M","Phyllodactylidae",12,12,NA,69.87,20.15,16.74,9.03,NA,4.37
"Tupinambis teguixin","M","Teiidae",3,3,NA,321.37,NA,NA,NA,NA,86.89
"Salvator merianae","M","Teiidae",10,10,NA,419.1,92.63,NA,NA,NA,502.63
