"BinomialReptileDatabase","Sex","Family","SSM","SSBF","SE.BM","SE.SVL","SE.HL","SE.HW","SE.HH","SE.LJL","SE.BF"
"Podarcis erhardii","M","Lacertidae",187,187,6.70969086361907,64.0100416772191,15.1640963287746,9.98166469756446,7.5911890696889,12.400439966654,10.7462188236039
"Anolis lineatopus","M","Lacertidae",58,58,3.26100239778868,52.3707687608866,16.130491251691,8.53443707614569,6.44898433927357,16.48018721662,3.58645513466081
"Anolis auratus","F","Lacertidae",22,22,NA,46.3860451963139,11.8739602149067,6.18116817192535,4.88624412178045,11.9646202507245,2.99792042981337
"Anolis humilis","F","Lacertidae",11,11,NA,35.9288539286733,10.4747254453973,5.75758942438533,4.45869521850577,10.5189974874213,2.34105794120443
"Anolis limifrons","F","Lacertidae",23,23,NA,39.7633711792833,11.021364080856,5.63923547734169,4.30463946835769,10.7609383601531,2.06217206288797
"Anolis pulchellus","F","Lacertidae",7,7,NA,41.6812304313689,13.5790811300805,6.55332020977033,5.36064234138978,13.9008943799522,3.31908113008048
"Anolis frenatus","M","Lacertidae",2,2,NA,133.259334752077,33.4079098064651,19.0540768363207,15.622741699797,34.7899556211075,38.2642972440152
"Anolis chloris","M","Lacertidae",4,4,NA,60.04,16.825,8.81,6.94,16.79,6.45
" Anolis heterodermus","M","Lacertidae",6,6,NA,72.9689106789508,21.5660425040772,10.9029285639896,9.67150594432212,20.9143928459845,19.2179004738065
"Anolis equestris","M","Lacertidae",10,10,NA,162.384346034988,50.5143146215047,29.8766306299725,21.6515124735379,51.027560174708,67.3598151933186
"Anolis gundlachi","M","Lacertidae",28,28,NA,64.0078187683835,20.0154397496153,10.5911857892037,8.76063490102892,20.1354397496153,6.9939476704384
"Anolis distichus","M","Lacertidae",83,83,NA,47.172222057966,13.3720807617904,8.69208076179041,6.17683498199278,13.5662288989881,2.94708410838618
"Anolis valencienni","M","Lacertidae",23,23,NA,68.4541880343494,20.2903476749896,9.78808869335422,8.1764292699165,20.3749436839736,7.34639468357693
"Trogonophis wiegmanni","M","Trogonophidae",15,15,7.25,160.95,7.1,5.24,4.21,NA,5.52
"Carlia triacantha","unknown","Scincidae",2,2,3.49953318805774,49.1869909755447,9.18162950903902,8.55246212024587,NA,NA,0.699913780286484
"Cryptoblepharus metallicus","unknown","Scincidae",11,8,1.15075567228888,37.7894736179239,8.34417633619198,5.4734206639031,NA,NA,0.155355339059327
"Ctenotus robustus","unknown","Scincidae",15,12,20.7156903025697,99.2416305400692,16.2845186485813,12.6882874923735,NA,NA,4.63200616589797
"Ctenotus inornatus","unknown","Scincidae",10,9,6.18740713738193,66.9910014994998,13.0050213671311,9.27323203944307,NA,NA,1.46
"Eremiascincus isolepis","unknown","Scincidae",5,5,3.82287301571992,57.5418867314046,10.4849844718999,7.89187612133994,NA,NA,0.42285912696499
"Anolis allisoni","M","Dactyloidae",9,9,NA,71.19,24.97,14.9,8.01,23.85,5.96333333333333
"Anolis angusticeps","M","Dactyloidae",57,57,NA,43.7983476239913,13.6383476239913,6.32232122106248,4.72232122106248,13.9523212210625,1.8263630184141
"Anolis bahorucoensis","M","Dactyloidae",30,30,NA,39.1245662485771,13.393611797427,6.51996031371031,5.33996031371031,13.703611797427,2.4722850182198
"Anolis baracoae","M","Dactyloidae",2,2,NA,123.75124891681,42.4112489168103,14.5212489168103,18.1224621202459,42.4324621202459,24.8031727983645
"Anolis barahonae","M","Dactyloidae",32,32,NA,148.138041936933,44.8980419369327,25.9227386360738,23.1327386360738,45.9327386360738,49.3176434880166
"Anolis brevirostris","M","Dactyloidae",64,64,NA,44.8075,13.62375,8.2675,6.03,13.31375,4.16125
"Anolis brunneus","M","Dactyloidae",53,53,NA,61.817964648541,19.657964648541,9.27796464854099,6.76796464854099,21.047964648541,4.78702969103893
"Anolis coelestinus","M","Dactyloidae",70,70,NA,61.7914751470268,19.1778894611988,10.3614751470268,8.07147514702678,19.6278894611988,10.1649415480881
"Anolis cuvieri","M","Dactyloidae",10,10,NA,132.162039154318,42.9920391543177,22.218363709638,19.388363709638,42.0220391543177,72.8669074841227
"Anolis cybotes","M","Dactyloidae",61,61,NA,57.6936442559195,20.1036442559195,11.9074853623175,9.71132646871545,19.6536442559195,11.9779056462806
"Anolis evermanni","M","Dactyloidae",60,60,NA,55.0984643616046,16.3645913782584,9.47459137825841,7.06459137825841,17.1245913782584,2.88494016175911
"Anolis grahami","M","Dactyloidae",23,23,NA,59.1031104230411,18.0031104230411,10.2293658554628,7.47353614374392,18.8431104230411,5.09860133280447
"Anolis krugi","M","Dactyloidae",39,39,NA,39.0921537845661,13.067349939952,6.9521537845661,6.0821537845661,13.067349939952,2.20783836607746
"Anolis olssoni","M","Dactyloidae",29,29,NA,43.8486940118494,12.4949801050859,6.0849801050859,5.33426487199476,13.3935496389036,2.83183042682964
"Anolis singularis","M","Dactyloidae",16,16,NA,39.175,12.575,7.04,5.5375,13.16,2.9875
"Anolis smaragdinus","M","Dactyloidae",54,54,NA,53.8524126951065,16.7496910398368,8.47241269510651,5.90241269510651,17.5324126951065,3.09092828340633
"Anolis stratulus","M","Dactyloidae",38,38,NA,44.8403324921873,13.9703324921873,7.93357692060992,5.67844356324384,13.9703324921873,2.00979906272299
"Anolis sheplani","F","Dactyloidae",16,16,NA,37.43,10.75,4.645,4.55,10.995,1.7075
"Pogona vitticeps","M","Agamidae",11,11,248.39,192.06,47.33,42.44,28.94,57.54,77.92
"Varanus exanthematicus","M","Varanidae",7,7,NA,247.114773851965,49.7675347994929,34.7403509321383,25.1012155506471,NA,94.5472539331938
"Acanthodactylus pardalis","M","Lacertidae",5,5,NA,59.8049844718999,14.5788854382,9.67888543819998,8.27888543819998,NA,5.21304951684997
"Archaeolacerta bedriagae","M","Lacertidae",14,14,NA,70.3855295497856,19.075057601546,11.3810702354424,7.22071349029491,NA,8.21559271926721
"Lacerta bilineata","M","Lacertidae",2,2,NA,92.1677669529664,25.4606601717798,16.012132034356,12.012132034356,NA,23.4414213562373
"Latastia longicaudata","M","Lacertidae",3,3,NA,93.517691453624,21.1928203230276,11.4886751345948,9.78867513459481,NA,8.15470053837925
"Psammodromus algirus","F","Lacertidae",6,6,NA,66.9558842722675,15.6981462390205,9.73484692283495,7.33072277760302,NA,6.42474487139159
"Podarcis liolepis","M","Lacertidae",6,6,NA,64.2715476066494,16.1632993161855,9.22247448713916,7.40412414523193,NA,8.37154760664941
"Podarcis hispanicus","M","Lacertidae",10,10,NA,56.696533840669,14.6162277660168,8.5897366596101,6.0897366596101,NA,4.64785054261852
"Podarcis lilfordi","F","Lacertidae",14,14,NA,61.5017837257373,15.1939873661037,8.71380899352994,6.66035674514746,NA,6.40089186286864
"Podarcis tiliguerta","M","Lacertidae",18,18,NA,56.254941075938,14.9064129385142,8.13570226039552,6.21213203435596,NA,3.92998316455372
"Anolis cristatellus","M","Dactyloidae",35,35,7.44171411685236,61.1871044570086,15.8456502339268,11.5750828296998,9.23001190417145,18.7245273296443,21.8961353079543
"Anolis oculatus","M","Dactyloidae",61,61,8.46576519264499,69.3626139036108,17.9902234334846,12.1885227807222,9.48931724873222,21.155765192645,24.9473611947611
"Eurolophosaurus nanuzae","unknown","Tropiduridae",29,29,NA,54.2320926461692,NA,NA,NA,NA,30.9628925674639
"Tropidurus hispidus","unknown","Tropiduridae",31,31,NA,96.7750202075442,NA,NA,NA,NA,50.4656327574518
"Tropidurus semitaeniatus","unknown","Tropiduridae",30,30,NA,70.5809223405854,NA,NA,NA,NA,25.8033302055367
"Anolis sagrei","M","Dactyloidae",27,27,NA,59.2558330249198,16.5625241363894,NA,NA,NA,8.42108820099492
"Acontias kgalagadi","unknown","Scincidae",5,5,2.23621670111997,121.531284505549,7.48913466179498,3.68944271909999,3.61460369212996,5.85205262246999,1.33888543819998
"Acontias litoralis","unknown","Scincidae",47,42,1.45563924617405,110.767193458525,6.08273714226308,3.05230084753439,2.57792489778945,5.2008573935384,0.759317636492797
"Acontias meleagris","unknown","Scincidae",6,6,10.903507627822,200.91077706618,10.870908153701,6.17742346141748,4.78453655975512,8.14356801693808,9.71259947412104
"Acontias percivali","unknown","Scincidae",12,12,18.3335829323957,250.432665679743,14.2668246803571,8.21650635094611,7.18207259421637,13.4693931022921,10.9633459118601
"Chalcides ocellatus","unknown","Scincidae",16,13,12,86.9825,12.54,8.305,7.0175,13.72,7.98209691109186
"Chalcides sepsoides","unknown","Scincidae",17,17,4.90738633753706,84.7997291314582,10.0164171000174,6.01003675626199,5.10820855000872,10.1422002937758,4.30190171877725
"Mochlus sundevallii","unknown","Scincidae",10,10,11.9012918674103,89.6103802223979,13.1589466384404,8.1701530373261,6.57631104156004,13.3641615841786,14.3696690908086
"Scelotes bipes","unknown","Scincidae",12,11,1.77073284825421,77.6401636861267,6.34454482671904,3.38743157806499,2.74124355652982,5.62743157806499,1.54105794120443
"Scincus scincus","unknown","Scincidae",5,5,20.5209658381798,93.5595293303199,19.08199378876,10.985410196625,10.31354796404,19.0974039853849,19.9954968078448
"Typhlosaurus caecus","unknown","Scincidae",32,32,3.68162950903902,177.38465385211,6.84142135623731,3.48545941546018,2.02772970773009,4.80611805537841,3.29284271247462
"Typhlosaurus lomiae","unknown","Scincidae",9,9,0.983333333333333,109.826666666667,5.61666666666667,2.63,2.15333333333333,4.15666666666667,0.49
"Typhlosaurus vermis","unknown","Scincidae",6,6,3.12499063660561,215.15861946783,7.16416580755922,3.33105186747163,2.80472193585307,5.75109352979892,1.03206207261597
"Iberolacerta horvathi","M","Lacertidae",26,26,NA,54.9569890527129,19.5114170394631,7.69844645405527,4.98667948594698,NA,1.61256297000113
"Diplolaemus leopardinus","unknown","Leiosauridae",21,20,20.04,81.79,NA,NA,NA,NA,17.2423745685299
"Ablepharus kitaibelii","M","Scincidae",6,6,1.07082482904639,42.5273214099741,6.87187669651802,3.90573214099741,2.77756717518813,6.25435118365717,0.455319726474218
"Tarentola mauritanica","M","Phyllodactylidae",12,12,NA,68.6180682368869,19.8441303078758,16.4270170592217,8.84505553499465,NA,4.14237604307034
"Tupinambis teguixin","M","Teiidae",3,3,NA,319.662495087526,NA,NA,NA,NA,80.3135701885906
"Salvator merianae","M","Teiidae",10,10,NA,390.108057279114,85.1905580942632,NA,NA,NA,438.87507690341
