Citation,Year,Journal,Family,BinomialStudy,BinomialReptileDatabase,Sex,Age,SSM,SSBF,SC,BM,BM.SD,BM.SE,BM.MIN,BM.MAX,SVL,SVL.SD,SVL.SE,SVL.MIN,SVL.MAX,HL,HL.SD,HL.SE,HL.MIN,HL.MAX,HW,HW.SD,HW.SE,HW.MIN,HW.MAX,HH,HH.SD,HH.SE,HH.MIN,HH.MAX,BF,BF.SD,BF.SE,BF.MIN,BF.MAX,LJL,LJL.SD,LJL.SE,LJL.MIN,LJL.MAX,DataQuality,Notes
"Herrel, et al., 2001a",2001,J Exp Zool,Xenosauridae,Xenosaurus platyceps,Xenosaurus platyceps,F,A,15,15,Metal,NA,NA,NA,NA,NA,98.54,20.71,NA,NA,NA,23.11,4.39,NA,NA,NA,19.62,4.11,NA,NA,NA,10.66,1.91,NA,NA,NA,11.34,3.61,NA,NA,NA,25.32,5.15,NA,NA,NA,Good,NA
"Herrel, et al., 2001a",2001,J Exp Zool,Xenosauridae,Xenosaurus newmanorum,Xenosaurus newmanorum,M,A,7,7,Metal,NA,NA,NA,NA,NA,106.42,6.13,NA,NA,NA,28.06,1.61,NA,NA,NA,21.65,0.93,NA,NA,NA,13.31,0.72,NA,NA,NA,20.38,5.29,NA,NA,NA,30.07,1.8,NA,NA,NA,Good,NA
"Herrel, et al., 2001a",2001,J Exp Zool,Xenosauridae,Xenosaurus newmanorum,Xenosaurus newmanorum,F,A,13,13,Metal,NA,NA,NA,NA,NA,90.09,28.09,NA,NA,NA,22.39,6.16,NA,NA,NA,17.72,4.75,NA,NA,NA,10.89,2.69,NA,NA,NA,13.36,7.55,NA,NA,NA,23.87,6.85,NA,NA,NA,Good,NA
"Verwaijen, et al., 2002",2002,Func Ecol,Lacertidae,Lacerta oxycephala,Dalmatolacerta oxycephala,M,A,34,34,Metal,NA,NA,NA,NA,NA,58.4,3,NA,NA,NA,15.1,1,NA,NA,NA,8.2,0.9,NA,NA,NA,5.8,0.9,NA,NA,NA,5.9,2,NA,NA,NA,15.9,0.3,NA,NA,NA,Good,NA
"Verwaijen, et al., 2002",2002,Func Ecol,Lacertidae,Lacerta oxycephala,Dalmatolacerta oxycephala,F,A,13,13,Metal,NA,NA,NA,NA,NA,52.9,5.4,NA,NA,NA,13.2,1,NA,NA,NA,7.1,0.7,NA,NA,NA,4.9,0.6,NA,NA,NA,2.9,0.7,NA,NA,NA,13.9,1.1,NA,NA,NA,Good,NA
"Verwaijen, et al., 2002",2002,Func Ecol,Lacertidae,Lacerta oxycephala,Dalmatolacerta oxycephala,SA,SA,7,7,Metal,NA,NA,NA,NA,NA,43.5,5.7,NA,NA,NA,11,1.2,NA,NA,NA,6,0.7,NA,NA,NA,4,0.6,NA,NA,NA,1.3,0.6,NA,NA,NA,12,1.3,NA,NA,NA,Good,NA
"Verwaijen, et al., 2002",2002,Func Ecol,Lacertidae,Podarcis melisellensis,Podarcis melisellensis,M,A,25,25,Metal,NA,NA,NA,NA,NA,60.9,4.3,NA,NA,NA,14.9,1.1,NA,NA,NA,8,0.7,NA,NA,NA,6.3,0.7,NA,NA,NA,6.7,1.4,NA,NA,NA,16.3,1,NA,NA,NA,Good,NA
"Verwaijen, et al., 2002",2002,Func Ecol,Lacertidae,Podarcis melisellensis,Podarcis melisellensis,F,A,13,13,Metal,NA,NA,NA,NA,NA,51.3,2.4,NA,NA,NA,11.5,0.4,NA,NA,NA,6,0.3,NA,NA,NA,4.7,0.3,NA,NA,NA,2.4,0.3,NA,NA,NA,12.8,0.5,NA,NA,NA,Good,NA
"Verwaijen, et al., 2002",2002,Func Ecol,Lacertidae,Podarcis melisellensis,Podarcis melisellensis,SA,SA,17,17,Metal,NA,NA,NA,NA,NA,43.4,4.5,NA,NA,NA,10.4,0.9,NA,NA,NA,5.3,0.5,NA,NA,NA,4.1,0.5,NA,NA,NA,1.6,0.6,NA,NA,NA,11.3,1,NA,NA,NA,Good,NA
"McBrayer, 2004",2004,Zool J Linn Soc,Lacertidae,Heliobolus lugubris,Heliobolus lugubris,NA,NA,69,26,NA,NA,NA,NA,NA,NA,56.75,NA,0.4,NA,NA,14.27,NA,0.1,NA,NA,7.78,NA,0.06,NA,NA,NA,NA,NA,NA,NA,2.75,NA,0.17,NA,NA,14.48,NA,0.1,NA,NA,Remove,"This paper compared sit-and-wait lizards (M.suborbitalis and P.lineoocellata) and wide-foraging lizards (H.lugubris and P.namaquensis), Table 1 includes raw data and size-corrected means + 1SE, no info on sex as morphological measurements were taken froMmusueMspecimens, therefore biteforce and morphometric data are froMdifferent sample sizes (see table 1)."
"McBrayer, 2004",2004,Zool J Linn Soc,Lacertidae,Meroles suborbitalis,Meroles suborbitalis,NA,NA,51,16,NA,NA,NA,NA,NA,NA,58.21,NA,0.47,NA,NA,13.99,NA,0.12,NA,NA,8.21,NA,0.07,NA,NA,NA,NA,NA,NA,NA,2.49,NA,0.16,NA,NA,14.41,NA,0.11,NA,NA,Remove,"In this paper there was data on jaw length (JL) which the methods state was the anterior tip oFthe lower jaw to posterior tip oFthe retroarticular process. Since this description confirms that this measurement was for the lower jaw, then I believe it is synonymous to other papers measurement oFlower-jaw length (LJL). This paper has different sample sizes for morphometric and bite force data. Morphometric data was taken froMmusueMspecimens and bite force data was taken froMindividuals in the field (SVL and BMdata was also collected too). It doesn't state but I assume the average morph and bFdata is across both sample sizes and that data collected in the field was froMadults? No data given on sex. "
"McBrayer, 2004",2004,Zool J Linn Soc,Lacertidae,Pedioplanis namaquensis,Pedioplanis namaquensis,NA,NA,69,34,NA,NA,NA,NA,NA,NA,49.52,NA,0.42,NA,NA,12.47,NA,0.1,NA,NA,6.51,NA,0.05,NA,NA,NA,NA,NA,NA,NA,1.06,NA,0.05,NA,NA,12.28,NA,0.1,NA,NA,Remove,NA
"McBrayer, 2004",2004,Zool J Linn Soc,Lacertidae,Pedioplanis lineoocellata,Pedioplanis lineoocellata,NA,NA,62,21,NA,NA,NA,NA,NA,NA,57.26,NA,0.4,NA,NA,13.94,NA,0.13,NA,NA,7.93,NA,0.08,NA,NA,NA,NA,NA,NA,NA,2.26,NA,0.09,NA,NA,14.16,NA,0.13,NA,NA,Remove,NA
"Herrel & O'Reilly, 2006",2006,Physiol BiocheMZool,Dactyloidae,Anolis equestris,Anolis equestris,NA,A,13,13,Metal,43.89,39.95,NA,3.5,120,116.03,41.96,NA,60.11,166.42,35.81,12.27,NA,19.42,50.98,20.48,7.73,NA,10.56,31.11,15.99,5.81,NA,9.03,24.01,37.09,39.97,NA,3.96,112.91,36.05,13.06,NA,18.76,52.88,Good,"No information is provided on age or sex of taxa, analyses and results are presented only on the species as a whole. UPDATE: Natalie has confirmed they are likely to be adults due to SVL and BF values."
"Herrel & O'Reilly, 2006",2006,Physiol BiocheMZool,Dactyloidae,Anolis garmani,Anolis garmani,NA,A,39,39,Metal,16.71,11.52,NA,0.42,38,84.05,22.62,NA,26.52,117.66,23.92,6.27,NA,8.99,33.65,13.38,3.7,NA,5.85,19.94,10.58,3.07,NA,4.38,15.72,11.05,8.9,NA,0.7,32.79,25.22,6.6,NA,8.9,35.52,Good,NA
"Husak, et al., 2006",2006,Copeia,Crotaphytidae,Crotaphytus antiquus,Crotaphytus antiquus,M,A,18,18,Leather,40.4,NA,2.8,20.5,54.5,100.4,NA,1.9,84.7,108.6,27.4,NA,0.8,22.4,30.6,23.5,NA,0.6,18.5,26.2,NA,NA,NA,18.5,26.2,44.1,NA,4.1,20,70.6,NA,NA,NA,NA,NA,Good,NA
"Husak, et al., 2006",2006,Copeia,Crotaphytidae,Crotaphytus antiquus,Crotaphytus antiquus,F,A,12,12,Leather,26,NA,1.2,21.5,34,88.3,NA,1.1,82,93.8,22.7,NA,0.4,20.9,25.6,18.6,NA,0.2,17.4,19.9,NA,NA,NA,17.4,19.9,19.8,NA,0.8,3.5,23.3,NA,NA,NA,NA,NA,Good,This paper looked at how BF performance predicts dominance in male venerable collared lizards. BF was the only significantly different trait between winners and losers.
"Lappin, et al., 2006a",2006,Biol J Linn Soc,Iguanidae,Sauromalus ater,Sauromalus ater,M,A,34,34,Leather,191.3,NA,7.8,NA,NA,168.9,NA,2.4,NA,NA,32.8,NA,0.5,NA,NA,28.6,NA,0.4,NA,NA,15.7,NA,0.3,NA,NA,76.6,NA,5,NA,NA,NA,NA,NA,NA,NA,Ok,"This paper had two variables for head width (HW-t and HW-am). Hw-t was head width at the quadrate articular jaw joints (shorter than Hw-am). Hw-aMwas headwidth at the maximuMlateral extent oFthe temporal jaw-adductor musculature. Since Hw-aM was the maximum head width, these values were used for head width data. Head depth data was also available from this paper and used as proxy for head height."
"Lappin, et al., 2006a",2006,Biol J Linn Soc,Iguanidae,Sauromalus ater,Sauromalus ater,F,A,15,15,Leather,151.7,NA,13.5,NA,NA,151.3,NA,3.9,NA,NA,26.2,NA,0.5,NA,NA,21.5,NA,0.3,NA,NA,11.8,NA,0.4,NA,NA,20.7,NA,2,NA,NA,NA,NA,NA,NA,NA,Ok,NA
"Irschick and Meyers, 2007",2007,Oecologia,Phrynosomatidae,Urosaurus ornatus,Urosaurus ornatus,M,A,12,12,Metal,NA,NA,NA,NA,NA,49.42,NA,0.62,45.1,52.7,11.36,NA,0.18,10.09,12.04,9.47,NA,0.12,8.63,10.21,6.18,NA,0.14,5.41,6.86,4.98,NA,0.31,3.3,6.9,NA,NA,NA,NA,NA,Good,"This was an interesting paper, the authors captured the lizards and marked them, they then tried to recapture the same lizards to see iFthey ""survived"", the data was split into survivors/non-survivors and breeding season/non breeding season. The morphometric and BFvalues I used were oFthe survivor males (n = 12) and survivor females (n = 9) from Table 1. This is because these lizards were recaptured and remeasured, whereas the non-survivor lizard data was from lizards that were not recaptured and presumed dead. the MAX BF for males and females is very close too (0.02 for females) and so wouldn't have mattered too much."
"Irschick and Meyers, 2007",2007,Oecologia,Phrynosomatidae,Urosaurus ornatus,Urosaurus ornatus,F,A,9,9,Metal,NA,NA,NA,NA,NA,50.64,NA,1.18,44.82,55.84,10.86,NA,0.18,9.81,11.43,8.82,NA,0.14,7.98,9.49,6.02,NA,0.09,5.6,6.5,4.16,NA,0.3,2.8,6,NA,NA,NA,NA,NA,Good,NA
"Huyghe, et al., 2007",2007,Zool,Dactyloidae,Anolis sheplani,Anolis sheplani,M,A,9,9,NA,0.61,NA,0.05,NA,NA,38.61,NA,0.76,NA,NA,11.26,NA,0.22,NA,NA,4.57,NA,0.11,NA,NA,4.46,NA,0.14,NA,NA,1.02,NA,0.09,NA,NA,NA,NA,NA,NA,NA,Good,NA
"Huyghe, et al., 2007",2007,Zool,Dactyloidae,Anolis sheplani,Anolis sheplani,F,A,16,16,NA,0.64,NA,0.07,NA,NA,37.4,NA,1.13,NA,NA,10.63,NA,0.29,NA,NA,4.39,NA,0.11,NA,NA,4.27,NA,0.12,NA,NA,0.96,NA,0.12,NA,NA,NA,NA,NA,NA,NA,Good,NA
"McBrayer and Anderson, 2007",2007,J Herpetol,Anguidae,Elgaria coerulea,Elgaria coerulea,M,A,9,9,Rubber,NA,NA,NA,NA,NA,88.3,4.78,NA,79,96,17,1.03,NA,15.7,19,11.1,0.68,NA,10.1,12.5,8.18,0.46,NA,7.3,8.7,20.18,2.9,NA,14.4,24,NA,NA,NA,NA,NA,Remove,"This paper had different sample sizes for SVL (M= 39, F= 47) and BF, HL, HW, HH (M= 9, F= 10). They captured this species and recorded SVL and head measurements, however the BFand head measurement data used in the paper was froMthe same individuals captured in 1998 (with the smaller sample size)"
"McBrayer and Anderson, 2007",2007,J Herpetol,Anguidae,Elgaria coerulea,Elgaria coerulea,F,A,10,10,Rubber,NA,NA,NA,NA,NA,92.3,4.24,NA,84,103,16.6,0.94,NA,14.4,17.8,11,1.38,NA,9,13.4,7.42,0.65,NA,6.2,8.3,15,4.03,NA,9.87,21.5,NA,NA,NA,NA,NA,Remove,NA
"Herrel, et al., 2007",2007,Biol J Linn Soc,Dactyloidae,Anolis carolinensis,Anolis carolinensis,M,A,40,40,Metal,5.12,1.24,NA,NA,NA,62.58,5.2,NA,NA,NA,18.81,1.27,NA,NA,NA,9.84,0.9,NA,NA,NA,6.94,0.72,NA,NA,NA,4.74,1.46,NA,NA,NA,19.98,1.61,NA,NA,NA,Good,NA
"Herrel, et al., 2007",2007,Biol J Linn Soc,Dactyloidae,Anolis carolinensis,Anolis carolinensis,F,A,40,40,Metal,3.44,0.39,NA,NA,NA,55.36,2.09,NA,NA,NA,15.27,0.57,NA,NA,NA,8.2,0.31,NA,NA,NA,5.82,0.24,NA,NA,NA,2.59,0.39,NA,NA,NA,16,0.55,NA,NA,NA,Good,NA
"Herrel, et al., 2008",2008,PNAS,Lacertidae,Podarcis sicula,Podarcis sicula,M,A,NA,NA,NA,6.38,1.42,NA,NA,NA,69.54,2.86,NA,NA,NA,16.33,0.77,NA,NA,NA,9.13,0.42,NA,NA,NA,7.35,0.43,NA,NA,NA,11.25,2.42,NA,NA,NA,17.45,0.72,NA,NA,NA,Bad,"This paper compared an ancestral population (Pod Kopiste)  oFPodarcis sicula with an introduced population (Pod Mrcaru), looking at how morphology, perfomance (BF), diet analysis and overall abudance had changed after 36 years. The sample sizes for morphometric and BFare divided into the two populations (no division based on sex, see methods for sample sizes). The data I've input froMthis paper is from the Pod Mrcaru population, i.e. the introduced island population as it had a higher max bf of 11.25 vs 9.85 for the ancestral population. The sample sizes were provided but for the whole population (SSM = 158, SSBF = 58) not for females and males seperately therefore no data available for sample sizes. BAD = no sample sizes for males and females"
"Herrel, et al., 2008",2008,PNAS,Lacertidae,Podarcis sicula,Podarcis sicula,F,A,NA,NA,NA,4.72,1.24,NA,NA,NA,64.08,2.93,NA,NA,NA,13.75,0.64,NA,NA,NA,7.51,0.38,NA,NA,NA,5.95,0.38,NA,NA,NA,6.7,1.9,NA,NA,NA,14.44,0.71,NA,NA,NA,Bad,NA
"Herrel, et al., 2010",2010,Biol J Linn Soc,Sphenodontidae,Sphenodon punctatus,Sphenodon punctatus,M,A,74,74,NA,434.8,172.6,NA,NA,NA,230.2,28,NA,NA,NA,60.6,6.7,NA,NA,NA,45.2,6,NA,NA,NA,33.4,4.3,NA,NA,NA,173,46.8,NA,NA,NA,65.3,7.2,NA,NA,NA,Good,NA
"Herrel, et al., 2010",2010,Biol J Linn Soc,Sphenodontidae,Sphenodon punctatus,Sphenodon punctatus,F,A,70,70,NA,272.7,62.1,NA,NA,NA,199.5,14.7,NA,NA,NA,51.3,3.2,NA,NA,NA,37.9,2.6,NA,NA,NA,27.9,1.8,NA,NA,NA,120.3,23.6,NA,NA,NA,54.5,3.4,NA,NA,NA,Good,NA
"Vanhoydonck, et al., 2010",2010,Biol J Linn Soc,Liolaemidae,Liolaemus baguali,Liolaemus baguali,M,A,6,6,Metal,NA,NA,NA,NA,NA,85.17,NA,5.87,NA,NA,18.43,NA,1.14,NA,NA,12.46,NA,0.93,NA,NA,7.73,NA,0.58,NA,NA,12.99,NA,1.63,NA,NA,19.27,NA,1.24,NA,NA,Good,NA
"Vanhoydonck, et al., 2010",2010,Biol J Linn Soc,Liolaemidae,Liolaemus baguali,Liolaemus baguali,F,A,2,2,Metal,NA,NA,NA,NA,NA,81.79,NA,2.65,NA,NA,15.9,NA,0.25,NA,NA,10.98,NA,0.57,NA,NA,7.13,NA,0.68,NA,NA,10.4,NA,1.77,NA,NA,16.66,NA,0.21,NA,NA,Good,NA
"Vanhoydonck, et al., 2010",2010,Biol J Linn Soc,Liolaemidae,Liolaemus bibronii,Liolaemus bibronii,M,A,4,4,Metal,NA,NA,NA,NA,NA,53.87,NA,1.39,NA,NA,11.69,NA,0.22,NA,NA,7.64,NA,0.32,NA,NA,5.45,NA,0.24,NA,NA,3.27,NA,0.27,NA,NA,11.71,NA,0.22,NA,NA,Good,NA
"Vanhoydonck, et al., 2010",2010,Biol J Linn Soc,Liolaemidae,Liolaemus bibronii,Liolaemus bibronii,F,A,4,4,Metal,NA,NA,NA,NA,NA,55.98,NA,1.53,NA,NA,11.38,NA,0.22,NA,NA,7.81,NA,0.23,NA,NA,5.43,NA,0.14,NA,NA,2.46,NA,0.3,NA,NA,11.52,NA,0.17,NA,NA,Good,NA
"Vanhoydonck, et al., 2010",2010,Biol J Linn Soc,Liolaemidae,Liolaemus canqueli,Liolaemus canqueli,M,A,7,7,Metal,NA,NA,NA,NA,NA,94.81,NA,2.4,NA,NA,18.63,NA,0.42,NA,NA,11.27,NA,0.53,NA,NA,9.5,NA,0.15,NA,NA,14.14,NA,1.01,NA,NA,19.62,NA,0.52,NA,NA,Good,NA
"Vanhoydonck, et al., 2010",2010,Biol J Linn Soc,Liolaemidae,Liolaemus canqueli,Liolaemus canqueli,F,A,4,4,Metal,NA,NA,NA,NA,NA,88.7,NA,2.15,NA,NA,17.04,NA,0.46,NA,NA,11.27,NA,0.53,NA,NA,8.02,NA,0.31,NA,NA,10.95,NA,1.21,NA,NA,17.77,NA,0.47,NA,NA,Good,NA
"Vanhoydonck, et al., 2010",2010,Biol J Linn Soc,Liolaemidae,Liolaemus ceii,Liolaemus kriegi,M,A,3,3,Metal,NA,NA,NA,NA,NA,78.17,NA,2.58,NA,NA,16.64,NA,0.56,NA,NA,12.38,NA,0.42,NA,NA,7.89,NA,0.53,NA,NA,8.32,NA,0.79,NA,NA,17.03,NA,0.61,NA,NA,Good,"Taxa was named L.ceii in the paper, upon searching for diet and habitat data in Mieris paper, I could not find any taxa named L.ceii, Reptile databased revealed that it had been redescribed as Liolaemus kriegi â€” TRONCOSO-PALACIOS et al. 2014. Made a note but stuck to name as described in paper (L.ceii).  "
"Vanhoydonck, et al., 2010",2010,Biol J Linn Soc,Liolaemidae,Liolaemus ceii,Liolaemus kriegi,F,A,5,5,Metal,NA,NA,NA,NA,NA,76.39,NA,1.64,NA,NA,16.11,NA,0.19,NA,NA,11.47,NA,0.22,NA,NA,7.25,NA,0.14,NA,NA,5.62,NA,0.38,NA,NA,16.54,NA,0.4,NA,NA,Good,NA
"Vanhoydonck, et al., 2010",2010,Biol J Linn Soc,Liolaemidae,Liolaemus coeruleus,Liolaemus coeruleus,M,A,13,13,Metal,NA,NA,NA,NA,NA,61.69,NA,0.82,NA,NA,12.89,NA,0.16,NA,NA,9.34,NA,0.17,NA,NA,5.81,NA,0.12,NA,NA,5.08,NA,0.36,NA,NA,13.49,NA,0.15,NA,NA,Good,NA
"Vanhoydonck, et al., 2010",2010,Biol J Linn Soc,Liolaemidae,Liolaemus coeruleus,Liolaemus coeruleus,F,A,5,5,Metal,NA,NA,NA,NA,NA,63.27,NA,1.15,NA,NA,12.41,NA,0.23,NA,NA,9.09,NA,0.23,NA,NA,5.6,NA,0.2,NA,NA,3.64,NA,0.44,NA,NA,12.91,NA,0.33,NA,NA,Good,NA
"Vanhoydonck, et al., 2010",2010,Biol J Linn Soc,Liolaemidae,Liolaemus elongatus,Liolaemus elongatus,M,A,7,7,Metal,NA,NA,NA,NA,NA,74.84,NA,1.79,NA,NA,16.27,NA,0.34,NA,NA,10.53,NA,0.21,NA,NA,6.82,NA,0.12,NA,NA,8.57,NA,0.6,NA,NA,16.31,NA,0.32,NA,NA,Good,NA
"Vanhoydonck, et al., 2010",2010,Biol J Linn Soc,Liolaemidae,Liolaemus elongatus,Liolaemus elongatus,F,A,9,9,Metal,NA,NA,NA,NA,NA,63.13,NA,2.18,NA,NA,13.99,NA,0.37,NA,NA,8.94,NA,0.23,NA,NA,5.88,NA,0.14,NA,NA,6.19,NA,0.54,NA,NA,14.11,NA,0.4,NA,NA,Good,NA
"Vanhoydonck, et al., 2010",2010,Biol J Linn Soc,Liolaemidae,Liolaemus escarchadosi,Liolaemus escarchadosi,M,A,4,4,Metal,NA,NA,NA,NA,NA,79.64,NA,1.3,NA,NA,17.27,NA,0.17,NA,NA,11.22,NA,0.18,NA,NA,8.95,NA,0.66,NA,NA,10.41,NA,1.17,NA,NA,18.01,NA,0.52,NA,NA,Good,NA
"Vanhoydonck, et al., 2010",2010,Biol J Linn Soc,Liolaemidae,Liolaemus escarchadosi,Liolaemus escarchadosi,F,A,2,2,Metal,NA,NA,NA,NA,NA,68.29,NA,0.91,NA,NA,14.34,NA,0.49,NA,NA,8.81,NA,0.44,NA,NA,6,NA,0.02,NA,NA,4.88,NA,0,NA,NA,14.48,NA,0.52,NA,NA,Good,NA
"Vanhoydonck, et al., 2010",2010,Biol J Linn Soc,Liolaemidae,Liolaemus fitzingerii,Liolaemus fitzingerii,M,A,4,4,Metal,NA,NA,NA,NA,NA,93.55,NA,3.5,NA,NA,18.66,NA,0.8,NA,NA,12.76,NA,0.78,NA,NA,9.18,NA,0.6,NA,NA,14.27,NA,2.42,NA,NA,19.39,NA,0.78,NA,NA,Good,NA
"Vanhoydonck, et al., 2010",2010,Biol J Linn Soc,Liolaemidae,Liolaemus fitzingerii,Liolaemus fitzingerii,F,A,6,6,Metal,NA,NA,NA,NA,NA,89.93,NA,2.44,NA,NA,17.78,NA,0.37,NA,NA,11.46,NA,0.27,NA,NA,8.15,NA,0.24,NA,NA,10.7,NA,0.56,NA,NA,17.93,NA,0.44,NA,NA,Good,NA
"Vanhoydonck, et al., 2010",2010,Biol J Linn Soc,Liolaemidae,Liolaemus hatcheri,Liolaemus hatcheri,M,A,7,7,Metal,NA,NA,NA,NA,NA,59.18,NA,1.13,NA,NA,12.91,NA,0.21,NA,NA,9.18,NA,0.25,NA,NA,5.68,NA,0.22,NA,NA,3.89,NA,0.31,NA,NA,13.12,NA,0.26,NA,NA,Good,NA
"Vanhoydonck, et al., 2010",2010,Biol J Linn Soc,Liolaemidae,Liolaemus hatcheri,Liolaemus hatcheri,F,A,5,5,Metal,NA,NA,NA,NA,NA,59.17,NA,0.26,NA,NA,11.61,NA,0.16,NA,NA,8.59,NA,0.14,NA,NA,5.29,NA,0.09,NA,NA,2.62,NA,0.12,NA,NA,11.97,NA,0.15,NA,NA,Good,NA
"Vanhoydonck, et al., 2010",2010,Biol J Linn Soc,Liolaemidae,Liolaemus kingii,Liolaemus kingii,M,A,3,3,Metal,NA,NA,NA,NA,NA,73.78,NA,2.41,NA,NA,15.71,NA,0.17,NA,NA,10.57,NA,0.49,NA,NA,7.64,NA,0.31,NA,NA,8.95,NA,0.91,NA,NA,16.19,NA,0.19,NA,NA,Good,NA
"Vanhoydonck, et al., 2010",2010,Biol J Linn Soc,Liolaemidae,Liolaemus kingii,Liolaemus kingii,F,A,7,7,Metal,NA,NA,NA,NA,NA,74.98,NA,2.41,NA,NA,14.94,NA,0.38,NA,NA,10.01,NA,0.18,NA,NA,6.91,NA,0.19,NA,NA,8.53,NA,0.5,NA,NA,15.56,NA,0.34,NA,NA,Good,NA
"Vanhoydonck, et al., 2010",2010,Biol J Linn Soc,Liolaemidae,Liolaemus kolengh,Liolaemus kolengh,M,A,7,7,Metal,NA,NA,NA,NA,NA,55.53,NA,1.26,NA,NA,12.02,NA,0.27,NA,NA,8.85,NA,0.25,NA,NA,5.4,NA,0.21,NA,NA,2.58,NA,0.3,NA,NA,12.64,NA,0.26,NA,NA,Good,NA
