"BinomialReptileDatabase","Sex","Family","SSM","SSBF","SD.BM","SD.SVL","SD.HL","SD.HW","SD.HH","SD.LJL","SD.BF"
"Anolis carolinensis","M","Dactyloidae",56,56,NA,67.5106562731868,NA,NA,NA,NA,12.5988264662127
"Bradypodion melanocephalum","M","Chamaeleonidae",25,23,NA,50.02,12.4,8.02,13.87,12.39,13.48
"Bradypodion thamnobates","M","Chamaeleonidae",20,20,NA,63.27,17.03,12.91,10.96,17.58,41.46
"Ouroborus cataphractus","M","Cordylidae",19,19,NA,111.05,30.75,29.56,14.9,30.05,71.35
"Karusasaurus polyzonus","M","Cordylidae",16,16,NA,108.34,27.6,23.69,13.95,28.29,46.82
"Lacerta trilineata","M","Lacertidae",12,12,NA,15.23,4.87,2.96,2.6,3.27,78.84
"Uromastyx aegyptia","M","Agamidae",7,7,696.81,297.51,40.85,43.63,27.08,47.45,133.62
"Ctenophorus maculosus","M","Agamidae",32,32,11.88,68.84,NA,15.03,9.86,19.58,11.89
"Anolis aquaticus","M","Dactyloidae",10,10,NA,66.0715731075233,16.8914021704741,9.28543774484715,7.59570108523704,17.2811388300842,18.8920997883031
"Anolis lionotus","M","Dactyloidae",10,9,NA,74.7219219164378,18.4760071598892,9.65381496824546,8.05381496824546,18.7341210428977,18.4
"Anolis oxylophus","M","Dactyloidae",5,5,NA,67.6516791740744,16.6615092303249,9.46150923032491,7.97206651122492,17.4323296235748,10.9068883707497
"Anolis poecilopus","M","Dactyloidae",17,17,NA,70.6757192880806,17.5483142938921,9.59477267507412,7.55354161881794,17.8895453501482,15.8984845004941
"Podarcis erhardii","M","Lacertidae",187,187,8.1,68.32,16.23,10.89,8.24,13.42,13.36
"Anolis lineatopus","M","Lacertidae",58,58,4.26,57.47,17.92,9.49,7.17,18.4,4.82
"Anolis frenatus","M","Lacertidae",2,2,NA,140.98,35.3,20.17,16.56,36.89,42.81
"Anolis chloris","M","Lacertidae",4,4,NA,60.67,17.23,8.97,7.06,17.04,7.04
"Anolis auratus","M","Lacertidae",23,23,NA,45.72,12.31,6.22,5.06,12.18,2.63
"Anolis humilis","M","Lacertidae",30,30,NA,34.63,10.41,5.87,4.59,10.33,2.24
" Anolis heterodermus","M","Lacertidae",6,6,NA,75.33,22.43,11.4,10.21,21.66,21.65
"Anolis limifrons","M","Lacertidae",26,26,NA,43.29,11.14,5.81,4.51,10.82,1.74
"Anolis equestris","M","Lacertidae",10,10,NA,173.27,53.14,32.01,23.19,53.79,88.42
"Anolis gundlachi","M","Lacertidae",28,28,NA,67.26,20.94,11.24,9.45,21.06,8.47
"Anolis distichus","M","Lacertidae",83,83,NA,50.11,14.2,9.52,6.8,14.59,4.14
"Anolis valencienni","M","Lacertidae",23,23,NA,72.19,21.81,10.54,8.96,21.95,9.8
"Trogonophis wiegmanni","M","Trogonophidae",15,15,8.45665300540712,168.074998698594,7.50221766846904,5.67094750193111,4.61221766846904,NA,6.43935467078637
"Anolis allisoni","M","Dactyloidae",9,9,NA,71.99,25.81,15.8,8.85,24.67,7.39
"Anolis angusticeps","M","Dactyloidae",57,57,NA,44.77,14.61,7.32,5.72,14.95,3.44
"Anolis bahorucoensis","M","Dactyloidae",30,30,NA,40.13,14.35,7.46,6.28,14.66,3.96
"Anolis baracoae","M","Dactyloidae",2,2,NA,124.05,42.71,14.82,18.43,42.74,25.14
"Anolis barahonae","M","Dactyloidae",32,32,NA,149.2,45.96,26.96,24.17,46.97,50.89
"Anolis brevirostris","M","Dactyloidae",64,64,NA,45.77,14.56,9.23,7.01,14.25,5.43
"Anolis brunneus","M","Dactyloidae",53,53,NA,62.81,20.65,10.27,7.76,22.04,6.15
"Anolis coelestinus","M","Dactyloidae",70,70,NA,62.76,20.12,11.33,9.04,20.57,11.38
"Anolis cuvieri","M","Dactyloidae",10,10,NA,132.88,43.71,22.95,20.12,42.74,73.79
"Anolis cybotes","M","Dactyloidae",61,61,NA,58.74,21.15,12.98,10.81,20.7,13.53
"Anolis evermanni","M","Dactyloidae",60,60,NA,56.1,17.34,10.45,8.04,18.1,4.2
"Anolis garmani","M","Dactyloidae",23,23,NA,92.55,27.62,15.8,13.1,28.86,13.88
"Anolis grahami","M","Dactyloidae",23,23,NA,59.95,18.85,11.1,8.36,19.69,6.27
"Anolis krugi","M","Dactyloidae",39,39,NA,40.1,14.05,7.96,7.09,14.05,3.77
"Anolis olssoni","M","Dactyloidae",29,29,NA,44.72,13.35,6.94,6.23,14.33,3.98
"Anolis pulchellus","M","Dactyloidae",39,39,NA,42.79,14.33,7.37,6.54,14.64,3.88
"Anolis sheplani","M","Dactyloidae",9,9,NA,39.97,12.29,5.64,5.57,12.53,2.34
"Anolis singularis","M","Dactyloidae",16,16,NA,40,13.4,7.88,6.4,14,4.42
"Anolis smaragdinus","M","Dactyloidae",54,54,NA,54.82,17.7,9.44,6.87,18.5,4.43
"Anolis stratulus","M","Dactyloidae",38,38,NA,45.72,14.85,8.83,6.6,14.85,2.99
"Pogona vitticeps","M","Agamidae",11,11,280.150925875773,201.882489111107,49.5539597987412,44.6639597987412,30.862798575995,60.3894484921371,92.8853961456959
"Varanus exanthematicus","M","Varanidae",7,7,NA,262.28,52.66,36.65,26.93,NA,107.61
"Acanthodactylus pardalis","M","Lacertidae",5,5,NA,60.8,14.8,9.9,8.5,NA,5.6
"Archaeolacerta bedriagae","M","Lacertidae",14,14,NA,77.2,21.2,12.7,8.1,NA,11
"Lacerta bilineata","M","Lacertidae",2,2,NA,92.9,25.9,16.1,12.1,NA,23.5
"Latastia longicaudata","M","Lacertidae",3,3,NA,95.8,21.7,11.7,10,NA,9
"Podarcis liolepis","M","Lacertidae",6,6,NA,65.1,16.4,9.4,7.7,NA,9.2
"Podarcis hispanicus","M","Lacertidae",10,10,NA,59.5,15.3,9,6.5,NA,5.4
"Podarcis tiliguerta","M","Lacertidae",18,18,NA,60,15.9,8.9,6.9,NA,5
"Anolis cristatellus","M","Dactyloidae",35,35,8.63,64.27,16.66,12.19,9.82,19.73,25.81
"Anolis oculatus","M","Dactyloidae",61,61,10.48,74.42,19.49,13.2,10.37,23.17,30.65
"Anolis sagrei","M","Dactyloidae",27,27,NA,63.98,17.79,NA,NA,NA,10.23
"Iberolacerta horvathi","M","Lacertidae",26,26,NA,57.65,20.46,8.02,5.26,NA,1.91
"Ablepharus kitaibelii","M","Scincidae",6,6,1.13,43.77,7.15,4.03,2.89,6.71,0.55
"Podarcis muralis","M","Lacertidae",30,30,7.65,66.16,17.53,8.62,NA,NA,10.56
"Tarentola mauritanica","M","Phyllodactylidae",12,12,NA,69.87,20.15,16.74,9.03,NA,4.37
"Tupinambis teguixin","M","Teiidae",3,3,NA,321.37,NA,NA,NA,NA,86.89
"Salvator merianae","M","Teiidae",10,10,NA,419.1,92.63,NA,NA,NA,502.63
